"Sample","Site","Type","Initial","Treatment","Soil","Net","Replicate","Subreplicate","MDS1","MDS2"
"1-b-1","1","environmental","no","Bottom (environmental)",FALSE,FALSE,"1",NA,-1.19730553499485,-0.206060102662009
"1-b-2","1","environmental","no","Bottom (environmental)",FALSE,FALSE,"2",NA,-1.12868778662779,-0.0808889426398545
"1-bx-1","1","environmental","yes","Bottom (environmental)",FALSE,FALSE,"1",NA,-0.776204808494313,0.107867866264877
"1-bx-2","1","environmental","yes","Bottom (environmental)",FALSE,FALSE,"2",NA,-0.667441034547694,-0.0533959109583513
"1-bx-3","1","environmental","yes","Bottom (environmental)",FALSE,FALSE,"3",NA,-0.673864411138641,0.152652089920995
"1-sn-11","1","experimental","no","Soil & Net",TRUE,TRUE,"1","1",0.476693249198538,0.058307534808483
"1-sn-12","1","experimental","no","Soil & Net",TRUE,TRUE,"1","2",0.755372587367534,-0.226818997745108
"1-sn-13","1","experimental","no","Soil & Net",TRUE,TRUE,"1","3",0.831211306713301,-0.147674602570017
"1-sn-21","1","experimental","no","Soil & Net",TRUE,TRUE,"2","1",0.0971255370321702,0.0102542242733676
"1-sn-22","1","experimental","no","Soil & Net",TRUE,TRUE,"2","2",0.117850324003985,0.00444711226852896
"1-sn-23","1","experimental","no","Soil & Net",TRUE,TRUE,"2","3",0.232256281783011,0.0407547942656741
"1-sn-31","1","experimental","no","Soil & Net",TRUE,TRUE,"3","1",0.0559880910578154,0.0308963257275334
"1-sn-32","1","experimental","no","Soil & Net",TRUE,TRUE,"3","2",0.322068128761494,0.0594678903924905
"1-sn-33","1","experimental","no","Soil & Net",TRUE,TRUE,"3","3",0.311117765723224,0.0677083558509485
"1-so-1","1","environmental","no","Soil (environmental)",TRUE,FALSE,"1",NA,0.171890035542772,-0.961075833109383
"1-so-2","1","environmental","no","Soil (environmental)",TRUE,FALSE,"2",NA,0.916838352135155,-0.980260087119781
"1-so-3","1","environmental","no","Soil (environmental)",TRUE,FALSE,"3",NA,0.306192139867698,-0.776313770411945
"1-sox-1","1","environmental","no","Soil (environmental)",TRUE,FALSE,"1",NA,1.19600516956095,-0.764541880490479
"1-sox-2","1","environmental","no","Soil (environmental)",TRUE,FALSE,"2",NA,1.07742457165912,-0.593976828700161
"1-sox-3","1","environmental","no","Soil (environmental)",TRUE,FALSE,"3",NA,1.20010862494217,-0.788270432956649
"1-sx-11","1","experimental","no","Soil only",TRUE,FALSE,"1","1",-0.0738492391295481,-0.257349338998138
"1-sx-12","1","experimental","no","Soil only",TRUE,FALSE,"1","2",-0.145749040017933,-0.302213470409032
"1-sx-13","1","experimental","no","Soil only",TRUE,FALSE,"1","3",-0.0201491726732037,-0.259314347893331
"1-sx-21","1","experimental","no","Soil only",TRUE,FALSE,"2","1",0.0536933403578888,-0.146154178904375
"1-sx-22","1","experimental","no","Soil only",TRUE,FALSE,"2","2",-0.156837271143444,-0.00275293431889419
"1-sx-23","1","experimental","no","Soil only",TRUE,FALSE,"2","3",0.0418852773295671,-0.0928414134205496
"1-sx-31","1","experimental","no","Soil only",TRUE,FALSE,"3","1",-0.10442100144626,-0.179759181972034
"1-sx-32","1","experimental","no","Soil only",TRUE,FALSE,"3","2",0.043094444350164,-0.188778175949746
"1-sx-33","1","experimental","no","Soil only",TRUE,FALSE,"3","3",-0.13121344973622,-0.110808088538219
"1-t-1","1","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-0.865157581395164,-0.105322107564419
"1-t-2","1","environmental","no","Top (environmental)",FALSE,FALSE,"2",NA,-1.02531967405163,-0.445745214056804
"1-t-3","1","environmental","no","Top (environmental)",FALSE,FALSE,"3",NA,-1.19684672070025,-0.374939450131043
"1-tx-1","1","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-1.2284919154745,-0.650251837602911
"1-tx-2","1","environmental","no","Top (environmental)",FALSE,FALSE,"2",NA,-1.05265800256947,-0.598698820683488
"1-tx-3","1","environmental","no","Top (environmental)",FALSE,FALSE,"3",NA,-1.27284534324775,-0.789356367473373
"1-xn-11","1","experimental","no","Net only",FALSE,TRUE,"1","1",-0.140477827326163,0.0117124851615378
"1-xn-12","1","experimental","no","Net only",FALSE,TRUE,"1","2",-0.102515890691556,-0.0209167559477579
"1-xn-13","1","experimental","no","Net only",FALSE,TRUE,"1","3",-0.222067494178275,0.029349944243874
"1-xn-21","1","experimental","no","Net only",FALSE,TRUE,"2","1",0.157733899484532,-0.224020352705692
"1-xn-22","1","experimental","no","Net only",FALSE,TRUE,"2","2",-0.191101802470423,-0.160688704878528
"1-xn-23","1","experimental","no","Net only",FALSE,TRUE,"2","3",-0.271540997945503,-0.265987119336102
"1-xn-32","1","experimental","no","Net only",FALSE,TRUE,"3","2",-0.141603499188652,-0.064692901091742
"1-xn-33","1","experimental","no","Net only",FALSE,TRUE,"3","3",-0.0903822199439899,-0.146061391289142
"1-xx-11","1","experimental","no","No additions",FALSE,FALSE,"1","1",-0.228709587020903,-0.063555292888188
"1-xx-12","1","experimental","no","No additions",FALSE,FALSE,"1","2",-0.236849596126528,-0.112758613992769
"1-xx-13","1","experimental","no","No additions",FALSE,FALSE,"1","3",-0.0934083936888357,-0.0927575796765539
"1-xx-21","1","experimental","no","No additions",FALSE,FALSE,"2","1",-0.17720023050931,0.0312946802200817
"1-xx-22","1","experimental","no","No additions",FALSE,FALSE,"2","2",-0.154801008906418,0.114186031233467
"1-xx-23","1","experimental","no","No additions",FALSE,FALSE,"2","3",-0.135269979255563,0.118911667953828
"1-xx-31","1","experimental","no","No additions",FALSE,FALSE,"3","1",-0.0351024008312915,-0.0214042195470592
"1-xx-32","1","experimental","no","No additions",FALSE,FALSE,"3","2",-0.105968474559081,-0.0715260314340331
"1-xx-33","1","experimental","no","No additions",FALSE,FALSE,"3","3",-0.0760821649063291,0.0167512771022163
"2-b-1","2","environmental","no","Bottom (environmental)",FALSE,FALSE,"1",NA,-1.51268025217136,-0.552166861663666
"2-b-2","2","environmental","no","Bottom (environmental)",FALSE,FALSE,"2",NA,-1.38994705244967,-0.359250637412487
"2-bx-1","2","environmental","yes","Bottom (environmental)",FALSE,FALSE,"1",NA,-1.23921252596049,-0.0127173248073939
"2-bx-2","2","environmental","yes","Bottom (environmental)",FALSE,FALSE,"2",NA,-1.59199139138387,0.0193261281546174
"2-bx-3","2","environmental","yes","Bottom (environmental)",FALSE,FALSE,"3",NA,-1.32986406754608,-0.0902704494021055
"2-sn-11","2","experimental","no","Soil & Net",TRUE,TRUE,"1","1",0.0461842135014919,0.0788058372587341
