"","Gammaproteobacteria","Bacilli","Polyangia","Alphaproteobacteria","Bacteroidia","Actinobacteria","Clostridia","Chloroflexia","Limnochordia","Halanaerobiia","Planctomycetes","Spirochaetia","Verrucomicrobiae","Vicinamibacteria","Myxococcia","Gemmatimonadetes","bacteriap25","Methylomirabilia","Acidobacteriae","Desulfovibrionia","Blastocatellia","Thermoleophilia","Deinococci","Babeliae","Sumerlaeia","BRH-c20a","Longimicrobia","Negativicutes","Hydrogenedentia","Methanobacteria","Phycisphaerae","Coriobacteriia","Nitrososphaeria","JG30-KF-CM66","Nitrospiria","Desulfuromonadia","Anaerolineae","Acidimicrobiia","Bdellovibrionia","Ignavibacteria","Entotheonellia","Methanosarcinia","Thermoanaerobaculia","Subgroup 5","Vampirivibrionia","Fimbriimonadia","Oligoflexia","Desulfitobacteriia","OM190","Cyanobacteriia","Fibrobacteria","Abditibacteria","Subgroup 25","Deferribacteres","Dadabacteriia","OLB14","Dehalococcoidia","Holophagae","Syntrophomonadia","Subgroup 11","Kapabacteria","vadinHA49","MB-A2-108","Chlamydiae","Sericytochromatia","Desulfotomaculia","BD7-11","Incertae Sedis","Thermoanaerobacteria","BD2-11 terrestrial group","Pla4 lineage","Rhodothermia","Ktedonobacteria","Subgroup 18","Leptospirae","KD4-96","AD3","Gracilibacteria","Campylobacteria","Thermoplasmata","Methanocellia","TK10","Latescibacteria","Subgroup 22","Cloacimonadia","Kiritimatiellae","N9D0","Parcubacteria","Symbiobacteriia","MVP-15","Calditrichia","Chthonomonadetes","Gitt-GS-136","S0134 terrestrial group","Moorellia","Saccharimonadia","Lineage IIa","ABY1","Desulfobulbia","Syntrophia","AKAU4049","Endomicrobia","Pla3 lineage","Lentisphaeria","Microgenomatia","Kryptonia","Bathyarchaeia","Berkelbacteria","4-29-1","Chitinivibrionia","Subgroup 20","Elusimicrobia","Nanoarchaeia","WWE3","Brevinematia","Fusobacteriia","Rubrobacteria","Lineage IIb","CPR2","Syntrophobacteria","Methanomicrobia","Omnitrophia","Defferrisomatia","Armatimonadia","Desulfomonilia","V2072-189E03","Thermodesulfovibrionia","P2-11E","AT-s3-28","P9X2b3D02","Micrarchaeia","Rs-M47","Lineage IIc","OC31","SHA-26","028H05-P-BN-P5","Synergistia"
"1-b-1",0.317662604610189,0.00999853178681545,0.00129202760240787,0.206724416385259,0.356438114814271,0.0786815445602701,7.34106592277199e-05,0.00695933049478784,0,0,0.00550579944207899,0,0.00477169284980179,0,0.0031713404786375,0.000132139186609896,5.87285273821759e-05,0,0.000161503450300984,0,2.93642636910879e-05,2.93642636910879e-05,0.00396417559829687,0,0.000895610042578182,0,0,0,0,0,0,0,0,0,0,7.34106592277199e-05,0.000161503450300984,0.000308324768756423,0.00196740566730289,4.40463955366319e-05,5.87285273821759e-05,0,0,0,0,0,5.87285273821759e-05,0,0,0,7.34106592277199e-05,0,0,0,2.93642636910879e-05,0,0,0,0,0,0,0,0,0.000205549845837616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40463955366319e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102774922918808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-b-2",0.353332339346951,0.0084538541821977,0.00338452363202624,0.177381839868794,0.352065006709408,0.0452512300581482,0.000134188161622186,0.0066199493066945,0,0,0.0140002981959147,0,0.0134337259579544,0,0.00322051587893246,0.000268376323244372,0.000149097957357984,0.000104368570150589,4.47293872073953e-05,0,0,0,0.0122558520948263,0,0.00271358282391531,0,0,0,0,0,2.98195914715968e-05,0,4.47293872073953e-05,0,2.98195914715968e-05,0.000238556731772775,0.000313105710451767,0.000715670195318324,0.00404055464440137,0,0,0,0,0,0,0,4.47293872073953e-05,0,0,0,0.000238556731772775,0.000134188161622186,0,0,0,0,0,0,0,0,0,0,0,0.000298195914715968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164007753093783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-bx-1",0.452467055938751,0.00973768236103516,0.0137774092825516,0.165522959408683,0.224125460864043,0.0463951170462363,0.000123485102404431,0.00483355972268774,0,0,0.0141655053186798,0,0.0249969128724399,0.00243442059025879,0.000970240090320532,0.00213452819870517,0,0,0.000582144054192319,0,3.52814578298375e-05,0.000335173849383456,0.00624481803588124,0.0002822516626387,0.00453366733113412,0,0.000123485102404431,0,0.000194048018064106,0,0.000934958632490695,0,0.00014112583131935,0.000229329475893944,0,0.00562739252385909,0.0045160266022192,0.0031047682890257,0.00442782295764461,0,0,0,0,0,0,0,0.000493940409617725,0,0,8.82036445745938e-05,0.000317533120468538,8.82036445745938e-05,0,0,8.82036445745938e-05,0.000123485102404431,8.82036445745938e-05,0,0,0,0,0,0,0.000758551343341507,0.000635066240937076,0,0,0,0,0.000158766560234269,0,0,3.52814578298375e-05,0,0,0,0,0.00014112583131935,0.00100552154815037,0,0,0,0,0,0,0,5.29221867447563e-05,5.29221867447563e-05,0,0,0,0,0,0,0,0,0,0.000246970204808863,0,0,0,0,0,0,5.29221867447563e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-bx-2",0.450357675111773,0.00818181818181818,0.0222652757078987,0.151177347242921,0.198479880774963,0.0395827123695976,0.00360655737704918,0.0030849478390462,0,0,0.0181967213114754,0,0.0386736214605067,0.00406855439642325,0.000476900149031297,0.00459016393442623,0,0.000134128166915052,0.00141579731743666,7.45156482861401e-05,0,0.000894187779433681,0.00545454545454545,0.000849478390461997,0.00287630402384501,0,0.000134128166915052,7.45156482861401e-05,0.000342771982116244,0,0.0019672131147541,0,0,0.000312965722801788,0,0.00575260804769001,0.0119076005961252,0.00362146050670641,0.00405365126676602,0,0,0,0,0,0,0.000104321907600596,0.000387481371087928,0.000119225037257824,0,0.000208643815201192,0.000536512667660209,0.000178837555886736,0,0,0.000253353204172876,0,0.000104321907600596,0,0,0,0.000268256333830104,2.9806259314456e-05,0,0.000700447093889717,0.00116244411326379,0,0.000819672131147541,0,0,0.000238450074515648,0,5.96125186289121e-05,0,0,0.000327868852459016,0,0.000104321907600596,0.000312965722801788,0.000312965722801788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47093889716841e-05,0,0.000283159463487332,0,0,0,0,0,0,5.96125186289121e-05,0,0,2.9806259314456e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-bx-3",0.448497854077253,0.00823704192802905,0.0155166721690327,0.165764278639815,0.175453945196434,0.0505942555298778,0.000379663255199736,0.00445691647408386,0,0,0.0238197424892704,4.95212941564873e-05,0.0385440739517993,0.00409376031693628,0.000330141961043249,0.00358204027731925,0,0,0.00117200396170353,0,8.25354902608122e-05,0.000891383294816771,0.011687025420931,0.000445691647408386,0.00409376031693628,0,0.00061076262793001,0,0.000396170353251898,0,0.00168372400132057,0,3.30141961043249e-05,0.000247606470782436,0,0.0047870584351271,0.0113568834598878,0.00521624298448333,0.0039121822383625,0,0,0,0,0,0,0,0.00103994717728623,0,0,0.000577748431825685,0.000808847804555959,0.000363156157147573,0,0,0.000181578078573787,0.000280620666886761,0.000198085176625949,0,0,0,0.000132056784417299,0,0,0.000429184549356223,0.000940904588973259,0,0.000297127764938924,0,0,0.000198085176625949,0,0,0,0,0,0,0,0.000561241333773523,9.90425883129746e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379663255199736,0,0.000247606470782436,0,0,0,0,0,0,0,0,0,3.30141961043249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-sn-11",0.138205319413373,0.0103778274919215,0.0483470047228437,0.309470544369873,0.0405791697738006,0.0242977877206065,0.202647278150634,0.00161570966940094,0.00267213522247079,0,0.0266592095451156,0.00453641561024111,0.0246706437981606,0.0107506835694755,0.0296420581655481,0.00236142182450907,0.00217499378573204,0.000559284116331096,0.00329356201839423,0.0119935371613224,0.000372856077554064,0.00571712652249565,0.000186428038777032,0.00316927665920954,0.000248570718369376,0.0021128511061397,0.00192642306736266,0.019326373353219,0,0.00105642555306985,0.00379070345513298,0.00360427541635595,0.00111856823266219,0.000372856077554064,0.0021128511061397,0.00285856326124783,0.00248570718369376,0.00447427293064877,0.00490927168779518,0.00236142182450907,0.00130499627143922,0,0.0111856823266219,0,0.00565498384290331,0.000683569475515784,0.00397713149391002,0.00111856823266219,0.000683569475515784,0,0.000745712155108128,0.000248570718369376,0.000248570718369376,0,0.000434998757146408,0,0.000559284116331096,0.000434998757146408,0.000434998757146408,0,0,0.000434998757146408,0.000372856077554064,0.00136713895103157,0,0,0.000124285359184688,0,0,0.00031071339796172,0,0.00198856574695501,0.000124285359184688,0,0.000869997514292816,0,0,0.00031071339796172,0,0,0,0.000124285359184688,0,0,0,0,0,0,0.000248570718369376,0,0,0.00031071339796172,0,0.000186428038777032,0,0,0,0,0.000434998757146408,0.00248570718369376,0,0,0,0.000124285359184688,0.000186428038777032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-sn-12",0.130114781389643,0.00799526855340401,0.0606764216244633,0.253395251029528,0.0333610794707789,0.00880574783142031,0.0770831507929554,0.00225619907123456,0,0,0.0583106983264698,0.00350477525628669,0.0452773153421537,0.0461754140015771,0.0338429860685184,0.00913432051169719,0.0139095767983878,0.0266143871024271,0.0176991150442478,0.00170857793743976,0.00716288443003592,0.0112371856654692,0.000153333917462543,0.00547621133794795,0.000197143608166126,0.000613335669850171,0.00144571979321826,0.00676859721370367,0.000219048453517918,0,0.0107771839130816,0.000569525979146587,0.0159686322614562,0.000985718040830632,0.00950670288267765,0.00460001752387628,0.00687812144046263,0.00247524752475248,0.00346096556558311,0.000416192061684044,0.00389906247261894,0,0.00512573381231929,0.00884955752212389,0.00315429773065802,0.000679050205905546,0.00343906072023131,0.00646192937877859,0.00131429072110751,0.000109524226758959,0.00024095329886971,0.000372382370980461,0.00232191360728993,0,0.000744764741960922,0.00111714711294138,0.000985718040830632,0.00328572680276877,0,0.000985718040830632,0.00113905195829317,0.000284762989573294,0.00363620432839744,0.00273810566897398,8.76193814071673e-05,0,0.000153333917462543,0,0,0,0,0.000941908350127048,0.00111714711294138,0.000131429072110751,0.000591430824498379,0.00072285989660913,0.000416192061684044,0,0,6.57145360553755e-05,0,0.000679050205905546,0,0.00304477350389906,0,6.57145360553755e-05,0,0.000153333917462543,0.0026723911329186,0,0,0,0.000153333917462543,0.000306667834925085,0,0,0,0,0.000197143608166126,0.000613335669850171,0,0,0.000131429072110751,6.57145360553755e-05,0.000284762989573294,0.000109524226758959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131429072110751,0,0.000109524226758959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-sn-13",0.122668144278213,0.00952531729069369,0.0677854296947149,0.276023114066334,0.0331934879548273,0.0127707855088525,0.129634027283042,0.0051716404126758,0.000211087363782686,0,0.0420591572337001,0.0011082086598591,0.039024776379324,0.0303701944642339,0.046571149634555,0.00725612813002982,0.013166574315945,0.0134304335206734,0.00918230032454682,0.0011082086598591,0.00395788807092535,0.0124013826222328,0.000237473284255521,0.00485500936700177,0.000237473284255521,0.000527718409456714,0.0003694028866197,0.00860181007414444,0.000501332488983878,0.000237473284255521,0.00630623499300773,0.000343016966146864,0.0104752104277158,0.000527718409456714,0.00794216206232354,0.00424813319612655,0.0066492519591546,0.0040634317528167,0.00379957254808834,0.000448560648038207,0.00261220612681073,0,0.00926145808596533,0.00696588300482862,0.00424813319612655,0.000923507216549249,0.00522441225362147,0.00292883717248476,0.000237473284255521,0,0.000501332488983878,0.000316631045674028,0.00142483970553313,0,0.000290245125201193,0.000923507216549249,0.000897121296076414,0.00277052164964775,0,0.000817963534657907,0,0.000211087363782686,0.00245389060397372,0.00108182273938626,5.27718409456714e-05,0,0.000422174727565371,0,0,0.00018470144330985,5.27718409456714e-05,0.000448560648038207,0.000474946568511043,0.000263859204728357,0.00192617219451701,0.000343016966146864,0.000343016966146864,7.91577614185071e-05,0,0,0,0.000765191693712235,0,0.00102905089844059,0,0.000105543681891343,0,5.27718409456714e-05,0.00105543681891343,0,0,0.000158315522837014,0,0.000131929602364178,0,0,7.91577614185071e-05,0,0.000158315522837014,0.000211087363782686,0,0,0.000105543681891343,0,0,0.000158315522837014,0,0,0,0,0,0,0,0,0,0,0,7.91577614185071e-05,0,0,0,0.000131929602364178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-sn-21",0.176430633384276,0.013731816380823,0.054927265523292,0.312605422539197,0.142118073243901,0.0279277749476425,0.011626195732156,0.00890926586290825,0,0,0.0851983924831607,0.000532065432727684,0.0252108450783947,0.0177506084790853,0.000690553008433803,0.0209316805343295,7.92437878530594e-05,0.000135846493462388,0.00812814852549952,0.000215090281315447,0.000826399501896191,0.0107771551480161,0.00963378049470765,0.00247919850568857,0.000656591385068206,0,0.00236599309446992,0,0.00532065432727684,0,0.0120563762947869,4.52821644874625e-05,0.000328295692534103,0.00247919850568857,0.000294334069168506,0.00126790060564895,0.0083319182656931,0.0156223467481746,0.00373577857021566,0,0,0,0,0,7.92437878530594e-05,0.0011207335710647,0.00194713307296089,4.52821644874625e-05,0.00204901794305768,0.000124525952340522,0.000430180562630894,0.000509424350483953,0,0.000113205411218656,0.000396218939265297,0.00107545140657723,0.0003622573158997,0,0,0,0,0.000101884870096791,4.52821644874625e-05,0.00251316012905417,0.000384898398143431,0,0.000260372445802909,0,0.000158487575706119,0.000973566536480444,0,0.000973566536480444,0.000101884870096791,3.39616233655969e-05,0,7.92437878530594e-05,5.66027056093281e-05,5.66027056093281e-05,0,0,0,0,0,0,0,0,0.000350936774777834,4.52821644874625e-05,0,0,0,0,0,0,0,0.000147167034584253,0,0.000237731363559178,0,0,0,0,0,0,0.000113205411218656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-sn-22",0.185666991236611,0.0221226874391431,0.0518013631937683,0.315196364816618,0.145160662122687,0.0266666666666667,0.0172151898734177,0.00654333008763388,0,0,0.0761181434599156,0.000350535540408958,0.0261992859461214,0.013567023693606,0.000389483933787731,0.0203310613437196,0.000129827977929244,0.00020772476468679,0.00911392405063291,0.000545277507302824,0.000545277507302824,0.00971113274910743,0.00924375202856216,0.00268743914313535,0.000571243102888672,0.000103862382343395,0.00271340473872119,0,0.00464784160986693,0,0.00986692632262253,0.000116845180136319,0.000376501135994807,0.00127231418370659,0.000142810775722168,0.00258357676079195,0.00839987017202207,0.0109185329438494,0.00284323271665044,0,0,0,0,0,0,0.00123336579032782,0.00272638753651412,0,0.00160986692632262,0.000389483933787731,0.000753002271989614,0.000636157091853294,3.89483933787731e-05,0.000116845180136319,0.000272638753651412,0.000389483933787731,0.000272638753651412,0,0,0,3.89483933787731e-05,0.000168776371308017,0,0.00170074651087309,0.000454397922752353,0,0.000311587147030185,0,0,0.00114248620577734,0,0.000882830249918858,5.19311911716975e-05,0,0,0,0,2.59655955858487e-05,0,0,0,0.000116845180136319,0,0,0,0,9.08795845504706e-05,0,0,0,0,0,0,0,0,0.000103862382343395,0,0.000324569944823109,0,0,0,0,0,0,3.89483933787731e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
