"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"1-b-1",90753,74798,73506,73037,69302,68110
"1-b-2",88064,73839,72333,72504,68519,67070
"1-bx-1",73458,62068,60924,61283,57502,56687
"1-bx-2",87815,72920,71610,71919,67819,67100
"1-bx-3",77720,65397,64338,64500,61294,60580
"1-sn-11",25821,21112,19700,20220,16092,16092
"1-sn-12",72124,60363,56970,58201,45980,45652
"1-sn-13",62121,50610,47686,48688,38180,37899
"1-sn-21",114938,97355,95628,95607,89438,88335
"1-sn-22",104616,86210,84243,84578,77939,77025
"1-sn-23",109944,91844,89643,90056,82721,81927
"1-sn-31",122576,103094,101304,101495,94931,93747
"1-sn-32",100209,84277,81922,82334,73753,73120
"1-sn-33",121559,102906,101026,100905,92971,91933
"1-so-1",76109,60969,56383,58637,42305,42060
"1-so-2",70661,57618,53426,55383,40607,40433
"1-so-3",82125,65266,60301,62673,45254,45109
"1-sox-1",43943,35367,32236,33592,23149,22996
"1-sox-2",51852,41814,37819,39916,27284,27176
"1-sox-3",41484,34385,31239,32768,22659,22502
"1-sx-11",71273,57449,56176,56451,51910,51474
"1-sx-12",77292,64174,62763,62968,58676,57987
"1-sx-13",88355,71319,69885,70115,65188,64894
"1-sx-21",35371,28692,26901,27625,22658,22644
"1-sx-22",76556,62770,61187,61794,57003,56724
"1-sx-23",79565,65582,63858,64342,58820,58719
"1-sx-31",154262,124351,121529,122147,112923,111710
"1-sx-32",75291,60870,58971,59302,52850,52673
"1-sx-33",74199,59754,57669,58103,51941,51754
"1-t-1",112311,92648,91226,91077,86556,85231
"1-t-2",131308,109728,106222,107593,98056,93174
"1-t-3",135929,114086,111205,112631,104972,97851
"1-tx-1",99286,82884,81299,81564,76690,74738
"1-tx-2",102859,86910,84869,85510,79625,76964
"1-tx-3",64203,54958,53481,53868,49729,47876
"1-xn-11",100873,83834,82291,82486,76761,76193
"1-xn-12",75857,63661,62358,62366,57738,57384
"1-xn-13",87587,72677,71410,71580,66802,66573
"1-xn-21",130584,107815,103567,105132,89206,89000
"1-xn-22",95373,80429,79191,79134,74220,73658
"1-xn-23",80482,65726,64312,64612,60037,59404
"1-xn-31",2990,2462,2157,2196,1528,1528
"1-xn-32",100500,82302,80701,80911,75363,74828
"1-xn-33",87315,72650,71222,71492,66363,66068
"1-xx-11",116420,95744,94116,94539,89233,88424
"1-xx-12",102219,83674,82169,82612,77188,76578
"1-xx-13",104626,87120,85595,85926,80017,79451
"1-xx-21",84748,71189,69701,70141,65098,64757
"1-xx-22",71274,60084,59010,59002,54716,54413
"1-xx-23",101147,85422,84113,84372,79638,79048
"1-xx-31",100480,85771,83724,84163,77529,77154
"1-xx-32",70907,58536,56964,57241,51960,51774
"1-xx-33",116566,99959,97986,98500,92044,91529
"2-b-1",90414,78664,77440,77596,73798,71630
"2-b-2",71548,61566,60572,60447,57342,56237
"2-bx-1",67378,48188,47343,47323,44847,43901
"2-bx-2",77061,50885,50105,50238,48162,46714
"2-bx-3",73144,55882,55000,55128,52560,51238
"2-sn-11",133033,109910,107775,108131,97975,96923
"2-sn-12",73775,60947,59628,59643,53465,53189
"2-sn-13",83692,69311,66184,67314,53017,52949
"2-sn-21",148706,126083,123625,124502,112975,111433
"2-sn-22",116280,99815,98327,98458,90196,88860
"2-sn-23",93414,77802,75483,76291,67343,66817
"2-sn-31",94640,77717,76124,76458,70647,69880
"2-sn-32",87917,72489,70640,71154,64328,63411
"2-sn-33",62760,51230,49741,50107,44703,44435
"2-so-1",91751,76858,72897,74519,59651,59234
"2-so-2",524,296,133,195,78,78
"2-so-3",69378,56501,52406,54598,41880,41700
"2-sox-1",94972,76653,72938,74253,59729,59485
"2-sox-2",66816,54322,49898,51808,36739,36590
"2-sox-3",77953,63645,60068,61771,48529,48329
"2-sx-11",88217,72793,70600,71309,62232,61839
"2-sx-12",92743,78174,75740,76512,66533,66382
"2-sx-13",145465,120878,118011,118414,103364,102617
"2-sx-21",105753,87005,83251,84772,68213,68007
"2-sx-22",94044,77401,74537,75470,62824,62766
